company_id,company_name,data_source,description,website,company_type,followers,rolodex_company_id,colourcoats_bigin_id,metalia_bigin_id,phone,project_types,address_street,address_city,address_state,address_postal_code,address_country,headquarter_city,headquarter_state,headquarter_country,workspace_id,linkedin_description,logo_url,facebook_slug,linkedin_slug,x_slug,instagram_slug,country_code,phone_number,arr_estimate,number_of_employees,rolodex_id
d2144838-3655-4532-8274-dcd7b6bd3563,315 Work Avenue,ColourcoatsBigin,,,,,f335a25e-1bbe-49cb-b985-d24dcdfcc60f,1005878000000436350,,,,,,,,,,,,,,,,,,,,,,,
e88579ef-f860-448a-975b-1717a8117c87,360 Feet Design Studio,ColourcoatsBigin,,https://www.360feetdesignstudio.com/,,,,1005878000000436351,,,,,,,,,,,,,,,,,,,,,,,
299efc47-820e-455b-a9e6-a6159ebaa5f0,3MM Concept,ColourcoatsBigin,,,,,,1005878000000436352,,,,,,,,,,,,,,,,,,,,,,,
be9543ad-71db-4b8e-bcb7-f4709c75d14d,A&K Design Studio,ColourcoatsBigin,,,,,d445a6ac-821a-45a4-97e1-997fb3eebb95,1005878000000436353,,,,,,,,,,,,,,,,,,,,,,,
fa75f457-ff41-4da0-8d4c-488dc21f1420,A2D2,ColourcoatsBigin,,,,,97b462e7-2e67-489d-86b8-25354c44e6ee,1005878000000436354,,,,,,,,,,,,,,,,,,,,,,,
b96194d5-60d2-4dfc-b4ad-d7f49d79bf1a,Aa Homes,ColourcoatsBigin,,,,,7def3edb-2ca1-4a4f-b99b-16ea1ad5cbbf,1005878000000436355,,,,,,,,,,,,,,,,,,,,,,,
ecbad869-c868-4bfe-8ccd-eb73b6f55ff6,Aakruti Architects - Ahmedabad,ColourcoatsBigin,,https://www.aakrutiarchitects.com/,,,,1005878000000436356,,,,,,,,,,,,,,,,,,,,,,,
1b8b1d2c-e8b0-4fcc-a8d1-be799a31373b,Abhijaat Architect,ColourcoatsBigin,,,,,2f1094e8-58b1-415c-808d-df6e83221813,1005878000000436357,,,,,,,,,,,,,,,,,,,,,,,
4a02c8b2-b5a0-45d6-b438-1e9a033399ea,Abm Mumbai,ColourcoatsBigin,,,,,2857c05d-f1bc-4054-83ef-cf13d636f811,1005878000000436358,,,,,,,,,,,,,,,,,,,,,,,
f07b2b25-5e92-4870-a431-f51fb8ef8e1b,Adid,ColourcoatsBigin,,,,,18d6d218-5bdb-48ec-beb9-8783c029a6a5,1005878000000436359,,,,,,,,,,,,,,,,,,,,,,,
9a36cbdb-c125-433a-ac3b-5e84c280803c,Aditi Dattani Architect,ColourcoatsBigin,,,,,05d628d9-b75c-4ff1-b9c8-fb7dd4ec4e4f,1005878000000436361,,,,,,,,,,,,,,,,,,,,,,,
76ba10b5-b4d1-4b3f-a6f5-dc3522d895d8,Adnd Studio,ColourcoatsBigin,,,,,6cefc054-6d71-43c5-89ee-ea010d59d8a7,1005878000000436362,,,,,,,,,,,,,,,,,,,,,,,
a7e575b3-147a-41d8-b435-6d25bd253964,Ajit Shilpi,ColourcoatsBigin,,,,,9574802d-efc7-40e7-8701-3da8fc0f656c,1005878000000436363,,,,,,,,,,,,,,,,,,,,,,,
7454e165-a39b-4bf9-abfa-3988913f405c,Akasa Designs,ColourcoatsBigin,,https://www.aakasadesigns.com/,,,,1005878000000436364,,,,,,,,,,,,,,,,,,,,,,,
8bbf4af2-0317-4dfa-9500-7c38dba3ae73,Amit Gulati,ColourcoatsBigin,,,,,4971d04f-96f6-4fb0-b4a1-1c8e5fcfd232,1005878000000436365,,,,,,,,,,,,,,,,,,,,,,,
a0323063-3b6b-4275-a8ff-5d837a3f79c1,Amit Porwal,ColourcoatsBigin,,,,,47ee8f44-294f-477c-986f-8150284f21c1,1005878000000436366,,,,,,,,,,,,,,,,,,,,,,,
512064da-2581-484d-a22a-bae3539be006,Ampm Designs,ColourcoatsBigin,,,,,bf2e598f-2da1-498b-999f-b5dbff24133b,1005878000000436367,,,,,,,,,,,,,,,,,,,,,,,
1b2aed08-c41c-49dd-8ef5-2659d34246b4,Amulya,ColourcoatsBigin,,,,,d0c9cce3-6184-4561-b886-2ca8ee469d04,1005878000000436368,,,,,,,,,,,,,,,,,,,,,,,
5aadd039-25a0-4177-bec3-dca354b01b39,Anish Sir,ColourcoatsBigin,,,,,200d3028-8786-4bff-bf60-4684d1664d19,1005878000000436369,,,,,,,,,,,,,,,,,,,,,,,
f0e28486-36e6-427b-8642-98ed3418e248,Anj Group,ColourcoatsBigin,,,,,c5a27b85-db17-4d38-9c66-a2e8cb2a6542,1005878000000436370,,,,,,,,,,,,,,,,,,,,,,,
f71af08f-95c9-4aed-857e-0b0c6036ba4b,Annkur Khosla Design Studio,ColourcoatsBigin,,https://www.annkurkhosla.com/,,,36539a1e-36d4-4282-ab11-2e1d521d3943,1005878000000436371,,,,,,,,,,,,,,,,,,,,,,,
83a0bf37-32b9-485e-89f6-9c7881ed3e03,Anup Lalwani,ColourcoatsBigin,,,,,fc1f3cec-afde-478b-9016-cc4105e2b811,1005878000000436372,,,,,,,,,,,,,,,,,,,,,,,
a38ac056-7d4a-4f12-95c0-8ddbae4f542f,Architect Rushikesh. H (ARH),ColourcoatsBigin,,,,,8da095d0-6753-4854-87d3-48445b1317cf,1005878000000436373,,,,,,,,,,,,,,,,,,,,,,,
32c742a8-3fb4-4259-afe6-d23f01d99aef,Architheque By Kunal Mody,ColourcoatsBigin,,,,,,1005878000000436374,,,,,,,,,,,,,,,,,,,,,,,
