company_id,company_name,data_source,description,website,company_type,followers,rolodex_company_id,interakt_lead_id,bigin_id,phone,project_types,address_street,address_city,address_state,address_postal_code,address_country,headquarter_city,headquarter_state,headquarter_country,workspace_id,linkedin_description,logo_url,facebook_slug,linkedin_slug,x_slug,instagram_slug,country_code,phone_number,arr_estimate,number_of_employees,colourcoats_bigin_id,metalia_bigin_id,rolodex_id
9255f4e4-fcd8-4671-b5a5-c4c8c9737474,Brio,ColourcoatsBigin,,,,,e72aa2a3-4783-428d-a789-0afa5cf67b6b,,1005878000000436393,,,,,,,,,,,,,,,,,,,,,,1005878000000436393,,
0b188a6f-f94b-423b-9180-0be4fe568069,Cadence,ColourcoatsBigin,,,,,88ecc4d6-557f-4e15-9ce3-59958d693c4f,,1005878000000436394,,,,,,,,,,,,,,,,,,,,,,1005878000000436394,,
2e1d7b20-1c3c-4934-ad13-36707932615e,Capl,ColourcoatsBigin,,,,,2b0adf2a-e564-409f-91cf-5ea2f1e53835,,1005878000000436395,,,,,,,,,,,,,,,,,,,,,,1005878000000436395,,
821b1c34-83a3-451f-8b31-b082033c6b9d,Chandak Group,ColourcoatsBigin,,,,,9b6edf8c-dbc8-4541-89fe-c4896f642f45,,1005878000000436396,,,,,,,,,,,,,,,,,,,,,,1005878000000436396,,
fb09b486-70e0-4112-8afe-e6acb3bbec89,Charu Designer,ColourcoatsBigin,,,,,f5ead869-5298-41be-aeeb-d106ef41bc7a,,1005878000000436397,,,,,,,,,,,,,,,,,,,,,,1005878000000436397,,
8f01177f-0f94-4037-bb95-23f9755cc465,Chicago Studio,ColourcoatsBigin,,,,,4d0b3c98-1842-47c3-bda2-84e00759038b,,1005878000000436398,,,,,,,,,,,,,,,,,,,,,,1005878000000436398,,
8db5d339-c6c6-4e43-95e6-2dedeb549c2c,Cityspace' 82 Architects,ColourcoatsBigin,,,,,595453fb-ebff-4fe7-b7c8-6653ff5bb676,,1005878000000436399,,,,,,,,,,,,,,,,,,,,,,1005878000000436399,,
2670e182-0f3d-4068-9724-2a0c1a36a7e3,Colabcompany,ColourcoatsBigin,,,,,d3bf40a0-485d-46bb-90d8-793773e25c52,,1005878000000436400,,,,,,,,,,,,,,,,,,,,,,1005878000000436400,,
55753de2-21f0-46aa-9fd5-ddda446f4f92,Collective Project,ColourcoatsBigin,,https://collective-project.com/,,,,,1005878000000436401,,,,,,,,,,,,,,,,,,,,,,1005878000000436401,,
5142fd59-6794-4bd2-8427-5effd45a2d25,Concept Concelio,ColourcoatsBigin,,,,,,,1005878000000436402,,,,,,,,,,,,,,,,,,,,,,1005878000000436402,,
49112653-41e9-4963-b422-6d2431850972,D Design Space - Dinesh Jangid,ColourcoatsBigin,,,,,,,1005878000000436403,,,,,,,,,,,,,,,,,,,,,,1005878000000436403,,
ec26ee54-3baf-40cd-863d-91035d76a71e,DRISHTI ARCHITECTS AND INTERIOR DESIGNERS,ColourcoatsBigin,,https://www.drishtiarchitects.com/,,,1dc513d6-334b-4bad-b76a-f146ac3c025a,,1005878000000436420,,,,,,,,,,,,,,,,,,,,,,1005878000000436420,,
c520afb6-7338-4955-a0bb-63a9efcc4c72,DWG Design,ColourcoatsBigin,,https://dwgdesign.in/,,,2f8b6af3-e071-4c0c-9ed0-1418f6a45bd0,,1005878000000436422,,,,,,,,,,,,,,,,,,,,,,1005878000000436422,,
499fbb82-c66d-4b35-aa16-310efa85597b,Deepti Khanna,ColourcoatsBigin,,,,,9a1dd45a-5c4b-4ec7-a2fb-0919f40672d3,,1005878000000436404,,,,,,,,,,,,,,,,,,,,,,1005878000000436404,,
88de5298-c686-4f48-b395-cd47f99cb6c8,Des. Drashti,ColourcoatsBigin,,,,,a3b0c8a1-7534-4905-b564-6c496a7c4777,,1005878000000436405,,,,,,,,,,,,,,,,,,,,,,1005878000000436405,,
515de6db-2640-4b7a-a566-40d78749ff0d,Des.Dhwani Vaghani,ColourcoatsBigin,,,,,54583dc4-b983-4f00-b219-56c789588577,,1005878000000436406,,,,,,,,,,,,,,,,,,,,,,1005878000000436406,,
f6022269-6dda-4885-8e99-59ed56feafc6,Design Alchemy,ColourcoatsBigin,,,,,fe8513c6-833f-439a-aadb-ab6f93a2b2dd,,1005878000000436407,,,,,,,,,,,,,,,,,,,,,,1005878000000436407,,
5f6ba04f-ee47-4f24-b4e1-a31c9e88f4bc,Design Atelier - Nikhil Agarwal,ColourcoatsBigin,,https://www.design-atelier.co.in/,,,,,1005878000000436408,,,,,,,,,,,,,,,,,,,,,,1005878000000436408,,
ef41f856-76ac-4031-bb70-07e1d1ba6f0e,Design Matters,ColourcoatsBigin,,,,,f264405d-d02f-4934-831d-4f4b08b7a325,,1005878000000436409,,,,,,,,,,,,,,,,,,,,,,1005878000000436409,,
8b2b443f-571f-4578-91ab-f1cf688e5ddc,DesignHex,ColourcoatsBigin,,https://www.designhex.in/,,,6cf8ed5b-3307-4e4f-8d2d-f58bc1ffa97d,,1005878000000436410,,,,,,,,,,,,,,,,,,,,,,1005878000000436410,,
d4a8a67a-1dca-4174-9543-02880a826d4b,Designskope,ColourcoatsBigin,,,,,fb0367f6-bc09-4380-84d2-b0b0597cda20,,1005878000000436411,,,,,,,,,,,,,,,,,,,,,,1005878000000436411,,
d541e9cf-5340-4106-9a9c-8dd865c4835e,Devang Patel Designer,ColourcoatsBigin,,,,,bcc4cb54-b7ad-4dc6-b254-5e46052e1ffa,,1005878000000436412,,,,,,,,,,,,,,,,,,,,,,1005878000000436412,,
1bcc0062-db80-439f-aff8-5082bf323590,Devotie Home,ColourcoatsBigin,,,,,a1f104cf-f8b7-491a-972a-0e774b9ae9d2,,1005878000000436413,,,,,,,,,,,,,,,,,,,,,,1005878000000436413,,
38dd9bf3-981a-4739-86fc-023a158e3ddd,Dharyaa Designs,ColourcoatsBigin,,,,,4b10943c-1c2a-4dfe-9d7b-b99cb146fa2b,,1005878000000436414,,,,,,,,,,,,,,,,,,,,,,1005878000000436414,,
29fb2948-426e-45cf-ad07-d716b0cf8f33,Dig Architects,ColourcoatsBigin,,,,,488760aa-5967-4214-912c-c2767379b6a4,,1005878000000436415,,,,,,,,,,,,,,,,,,,,,,1005878000000436415,,
ed824daf-cc55-43b5-8de5-eb7df8324a3c,Dimension Interiors,ColourcoatsBigin,,,,,4c67a566-c2a1-42ed-9cef-9bbc617292a5,,1005878000000436416,,,,,,,,,,,,,,,,,,,,,,1005878000000436416,,
d1419024-b8e8-43c5-89cb-ef2884e9aafb,Dimenssion,ColourcoatsBigin,,,,,,,1005878000000436417,,,,,,,,,,,,,,,,,,,,,,1005878000000436417,,
802d85ae-0ab1-4ac2-a0ec-805de690565f,Dipttii Khanna Designs,ColourcoatsBigin,,,,,257579fc-1f46-4f12-a4be-1e3d6673d92f,,1005878000000436418,,,,,,,,,,,,,,,,,,,,,,1005878000000436418,,
b37c1d95-7671-47c4-8bff-99e70cd077f8,Dvvar Interiors Pvt. Ltd.,ColourcoatsBigin,,,,,,,1005878000000436421,,,,,,,,,,,,,,,,,,,,,,1005878000000436421,,
2df973c9-6218-400c-be88-7f3b3b035b88,Earthy Shades Design Studio,ColourcoatsBigin,,https://www.earthyshades.com/,,,6952fe77-013e-4867-a496-4eec713c2509,,1005878000000436423,,,,,,,,,,,,,,,,,,,,,,1005878000000436423,,
312401c4-5c51-430c-bfbd-b0c26e37227e,Ease Interior Hetal Ma'Am,ColourcoatsBigin,,,,,9e0d4189-cecc-4d78-9620-91576aa939bd,,1005878000000436424,,,,,,,,,,,,,,,,,,,,,,1005878000000436424,,
0a2f19d8-1778-4586-b359-3c5493b23d1c,Edifice Consultants Pvt. Ltd.,ColourcoatsBigin,,,,,3ef8663e-2aa4-480b-856a-7892fdb0ade8,,1005878000000436425,,,,,,,,,,,,,,,,,,,,,,1005878000000436425,,
6b647d4b-6d8d-4506-bc50-cf29ce6db21e,Eesha,ColourcoatsBigin,,,,,77e9efd9-4fdb-4d77-814e-a918f6587228,,1005878000000436426,,,,,,,,,,,,,,,,,,,,,,1005878000000436426,,
ce90caf9-5c80-4b2a-b003-053e89f673a7,Eisa Associates,ColourcoatsBigin,,,,,a0ba9104-9eaa-491a-a784-986b1349a9af,,1005878000000436427,,,,,,,,,,,,,,,,,,,,,,1005878000000436427,,
e5ae237f-9357-4d5c-9257-34e6f2b55289,Ekta & Dinesh,ColourcoatsBigin,,,,,ef015c94-3f1a-4811-86a8-f99da8fbb411,,1005878000000436428,,,,,,,,,,,,,,,,,,,,,,1005878000000436428,,
42927a26-b81a-4538-81da-a4d11b503919,Ekta & Jinesh,ColourcoatsBigin,,,,,2553d7b0-cc6a-481d-8240-d8d0e9e495a7,,1005878000000436429,,,,,,,,,,,,,,,,,,,,,,1005878000000436429,,
c0f66931-a59e-416b-a1d4-430a50f95786,Eliza Bnagalore,ColourcoatsBigin,,,,,44b725ff-f58a-404d-8145-7713056574ae,,1005878000000436430,,,,,,,,,,,,,,,,,,,,,,1005878000000436430,,
16b22ebe-3ee4-4223-b880-11ee3be604f0,Elm Design,ColourcoatsBigin,,,,,0976d90b-70e9-4d8d-9f66-32a2d53ac115,,1005878000000436431,,,,,,,,,,,,,,,,,,,,,,1005878000000436431,,
428a1055-45de-41f1-8a5e-1a0af41b8c46,Esajees Atelier,ColourcoatsBigin,,,,,e5b9a401-a15e-499d-acee-b49460b47079,,1005878000000436432,,,,,,,,,,,,,,,,,,,,,,1005878000000436432,,
2c9a8a27-2dc7-48e9-9302-47a60a1f917d,FAQUIH AND ASSOCIATES,ColourcoatsBigin,,https://faa-india.com/,,,54e40f64-f57a-4e9f-a182-823427a15051,,1005878000000436435,,,,,,,,,,,,,,,,,,,,,,1005878000000436435,,
fc0f426e-97b0-4030-b303-63908d0bc5ec,FSND,ColourcoatsBigin,,,,,c644d887-68b9-44c5-ad92-a5371d312d37,,1005878000000436439,,,,,,,,,,,,,,,,,,,,,,1005878000000436439,,
d58ac321-0d96-4257-a7c3-a36103c99fbe,Fabio/Maya/Goel Woodcraft,ColourcoatsBigin,,,,,3d9b7892-ac2f-485d-9bae-96d10874387d,,1005878000000436433,,,,,,,,,,,,,,,,,,,,,,1005878000000436433,,
0acfea57-34f9-4eef-a2e7-21507eb9dff2,Fadd Design Studio,ColourcoatsBigin,,,,,b769c54c-aa7b-41e4-a941-bce74e51155d,,1005878000000436434,,,,,,,,,,,,,,,,,,,,,,1005878000000436434,,
396c7388-c5f6-4ca1-99b9-6186a6af5adc,Firoza Kavrana,ColourcoatsBigin,,,,,7a7e8c1b-2997-4dcf-8a12-ab6d3b1da2b4,,1005878000000436436,,,,,,,,,,,,,,,,,,,,,,1005878000000436436,,
a564f5d0-ed86-44b2-98e4-60ed1a8116d6,Fk Interiors & Design,ColourcoatsBigin,,,,,,,1005878000000436437,,,,,,,,,,,,,,,,,,,,,,1005878000000436437,,
fe63762a-6949-490a-9f3e-309645bb8668,Freelancer,ColourcoatsBigin,,,,,891a3900-285b-43d5-b9b9-b1ab2ce33390,,1005878000000436438,,,,,,,,,,,,,,,,,,,,,,1005878000000436438,,
d1fe68f7-e02e-4055-82f5-122562a7600f,Fusion Flair,ColourcoatsBigin,,,,,5b05860f-4bcd-4320-9017-d4b839676ee9,,1005878000000436440,,,,,,,,,,,,,,,,,,,,,,1005878000000436440,,
116504ed-48a6-4b44-9475-f1bb97ea3a6c,G A Designs,ColourcoatsBigin,,,,,23a421c1-cc25-4a55-9a26-8eaa05ba52e4,,1005878000000436441,,,,,,,,,,,,,,,,,,,,,,1005878000000436441,,
618a8eaa-7973-42a5-9797-34c723fe077e,Ga Designs,ColourcoatsBigin,,,,,f28e43ca-7140-4ebe-8612-79479e0186bc,,1005878000000436442,,,,,,,,,,,,,,,,,,,,,,1005878000000436442,,
43530361-ce47-4249-9924-c8789c113c87,Garnet Interiors,ColourcoatsBigin,,https://www.garnetid.com/home/,,,24caf579-702e-4586-916b-7631d643cc41,,1005878000000436443,,,,,,,,,,,,,,,,,,,,,,1005878000000436443,,
df26e511-817d-4abf-9c74-b38614b25352,Gauri Khan Designs,ColourcoatsBigin,,https://www.gaurikhan.in/,,,5790eda1-d58a-4f58-ae0a-a1cb25d06850,,1005878000000436444,,,,,,,,,,,,,,,,,,,,,,1005878000000436444,,
5d49fd27-718e-4a2c-92d5-d7e94020607b,Gayathri & Namith Architects,ColourcoatsBigin,,,Architects,,413858e9-0082-4e3f-8bdd-4fca298fa111,,1005878000000436445,,,,,,,,,,,,,,,,,,,,,,1005878000000436445,,
76384fe5-b8d0-4694-88f6-47cd351694a8,Gurham Design Neel,ColourcoatsBigin,,,,,aba4df84-77ab-40f5-b862-d80538b4c3a4,,1005878000000436447,,,,,,,,,,,,,,,,,,,,,,1005878000000436447,,
24b823a2-8ecb-422c-97c9-a81d2844910e,Gz Arcs,ColourcoatsBigin,,,,,9ca707d2-182c-4b46-afc3-67cbb482f31c,,1005878000000436448,,,,,,,,,,,,,,,,,,,,,,1005878000000436448,,
03a89467-1777-40b2-a9a9-d206bed3fae0,H S Design,ColourcoatsBigin,,,,,485c72c5-f99e-4f43-84ae-574d1879975b,,1005878000000436449,,,,,,,,,,,,,,,,,,,,,,1005878000000436449,,
56b289ba-c7e3-4c0f-85c7-a4d0ea5a9ef2,Hardik Bhai Architect,ColourcoatsBigin,,,,,0580cead-be92-4ac3-b34e-1310191aecdc,,1005878000000436450,,,,,,,,,,,,,,,,,,,,,,1005878000000436450,,
b4f527d0-e9da-428d-b081-490e774b8eb8,Harsh Porwal Architect,ColourcoatsBigin,,,,,df7ee045-9603-4215-b1e7-74fa8cae1e47,,1005878000000436451,,,,,,,,,,,,,,,,,,,,,,1005878000000436451,,
